Ticker,Name,Sector,Industry,CMP,Final_Score,Tech_Score,Fund_Score,Sent_Score,Pre_Score,Forecast_Score,Intrinsic_Value,Margin_Safety,PE,ROE,Debt_to_Equity,PEG_Ratio,Market_Cap,Div_Yield,ROCE,OPM,FreeCashFlow,Sales,ProfitGrowth3Y,QtrSalesGrowth,QtrProfitGrowth,Reason,QualityScore,ROI_6to12_Score,Target,WinProbability,ExpectedReturn
WABAG.NS,WABAG.NS,Industrials,Engineering & Construction,1197.2,0.325,0.0,0.7142857142857143,0.5,0.325,0.0,653.09,-45.3,23.522459,0.14894,10.322,0,74397089792,0.33,16.730738427038283,10.497,324.4499968,3.5991360736194355,30.816314296715987,19.2,20.200000000000003,Earnings Breakout + Momentum,6,9,1,0.0778215706537034,12-18%
WELENT.NS,WELENT.NS,Industrials,Engineering & Construction,456.95,0.485,0.6,0.5714285714285714,0.5,0.485,0.0,342.79,-24.54,17.053303,0.14705,67.637,0,62109081600,0.66,16.34620632849211,20.288,55.498752,38.44486623615815,37.27180753432498,-0.6,54.400000000000006,Earnings Breakout + Momentum,7,9,1,0.07767020014584307,12-18%
ACUTAAS.NS,ACUTAAS.NS,Basic Materials,Specialty Chemicals,1710.0,0.3850499999999999,0.2,0.5714285714285714,0.767,0.3850499999999999,0.0,326.97,-81.08,62.767887,0.16902,0.58,0,141576847360,0.09,16.875034621755894,28.386998,-102.35536,24.343522875896006,30.17741057713399,24.1,88.1,Earnings Breakout + Momentum,6,9,1,0.07750019888621049,12-18%
TIMETECHNO.NS,TIMETECHNO.NS,Consumer Cyclical,Packaging & Containers,182.32,0.395,0.2,0.7142857142857143,0.5,0.395,0.0,118.33,-35.12,19.654095,0.14594,21.955,0,90055475200,0.69,17.040250066155217,11.778,109.2458624,14.347795274307028,27.30891283678316,10.3,17.299999999999997,Earnings Breakout + Momentum,6,9,1,0.07731002411329836,12-18%
CUPID.NS,CUPID.NS,Consumer Defensive,Household & Personal Products,464.85,0.4605975,0.6,0.4285714285714285,0.67065,0.4605975,0.0,27.01,-94.18,203.42105,0.17591,7.019,0,124515057664,0.0,16.006578988159287,32.101002,-25.7094752,10.813894473852926,33.25583576300666,103.2,138.6,Earnings Breakout + Momentum,6,9,1,0.0768392403546563,12-18%
SIYSIL.NS,SIYSIL.NS,Consumer Cyclical,Textile Manufacturing,606.1,0.395,0.2,0.7142857142857143,0.5,0.395,0.0,555.25,-8.5,13.19239,0.16375,30.58,0,27540488192,2.64,19.15730098355731,12.279,10.9501128,5.263740885473878,-3.0389264294674145,16.1,27.1,Earnings Breakout + Momentum,6,9,1,0.07665850206518575,12-18%
SKMEGGPROD.NS,SKMEGGPROD.NS,Consumer Defensive,Packaged Foods,169.25,0.465,0.4,0.7142857142857143,0.5,0.465,0.0,122.88,-27.68,16.289549,0.17358999,50.68,0,8946933760,0.44,13.198537348148395,16.595,2.7076876,18.068597120085684,67.09737928588804,58.4,186.6,Earnings Breakout + Momentum,6,9,1,0.07655336301407634,12-18%
ADANIPORTS.NS,ADANIPORTS.NS,Industrials,Marine Shipping,1430.0,0.483549,0.4,0.7142857142857143,0.62366,0.483549,0.0,621.75,-56.49,25.82219,0.18591999,81.556,0,3292357459968,0.49,14.539200510953036,46.760000000000005,581.6937472,21.52848599466102,31.428219096473576,29.7,27.1,Earnings Breakout + Momentum,6,9,1,0.07616363346333684,12-18%
MARKOLINES.NS,MARKOLINES.NS,Industrials,Infrastructure Operations,134.93,0.425,0.0,1.0,0.5,0.425,0.0,140.68,4.26,11.651985,0.15425,33.27,0,2980122112,0.0,16.04346375239843,9.202,67.7956992,27.540413523703062,30.685003924644818,40.0,73.5,Earnings Breakout + Momentum,6,9,1,0.07611936002869689,12-18%
DATAMATICS.NS,DATAMATICS.NS,Technology,Information Technology Services,710.8,0.5349999999999999,0.6,0.7142857142857143,0.5,0.5349999999999999,0.0,466.96,-33.54,17.841543,0.17094,12.851,0,41629749248,0.7,16.99346405228758,14.059,333.882496,12.790271050655663,9.191862621347614,20.5,49.0,Earnings Breakout + Momentum,6,9,1,0.07579013711583943,12-18%
INDOBORAX.NS,INDOBORAX.NS,Basic Materials,Chemicals,256.9,0.5349999999999999,0.6,0.7142857142857143,0.5,0.5349999999999999,0.0,190.01,-26.07,18.02244,0.13535,0.009,0,8247130112,0.39,17.54156044826822,16.657,34.0632,-0.0869187747828958,5.33207131815856,52.7,77.3,Earnings Breakout + Momentum,6,9,1,0.07535756888601887,12-18%
SIRCA.NS,SIRCA.NS,Basic Materials,Specialty Chemicals,485.15,0.485,0.6,0.5714285714285714,0.5,0.485,0.0,136.41,-71.78,46.337486,0.15093,10.211,0,27450839040,0.31,16.42470474288417,18.892999,-77.5759872,23.195257259866,20.953322297608,24.3,33.900000000000006,Earnings Breakout + Momentum,6,9,1,0.07526482857758822,12-18%
AURIONPRO.NS,AURIONPRO.NS,Technology,Software - Infrastructure,1013.8,0.3696625,0.0,0.7142857142857143,0.79775,0.3696625,0.0,508.67,-49.7,27.332432,0.1367,1.841,0,54575300608,0.59,15.02650950568942,17.063,-43.169824,32.43252322463845,38.109809293516975,28.5,23.1,Earnings Breakout + Momentum,6,9,1,0.07517879735421996,12-18%
TVSMOTOR.NS,TVSMOTOR.NS,Consumer Cyclical,Auto Manufacturers,3690.4,0.446046,0.6,0.4285714285714285,0.57364,0.446046,0.0,459.69,-87.52,67.00673,0.31233,346.085,0,1749934276608,0.27,15.472433729042276,12.633,-711.1587328,20.048961597713895,43.48216132578968,23.8,41.9,Earnings Breakout + Momentum,6,9,1,0.07512346805227589,12-18%
FLAIR.NS,FLAIR.NS,Industrials,Business Equipment & Supplies,319.4,0.93264,0.8,0.7142857142857143,0.648,0.6272,1.0,169.56,-46.84,25.540432,0.12946999,5.464,0,33621125120,0.31,15.58680586033057,14.707999999999998,-102.4682624,23.405251819482253,29.42829838872949,18.8,29.5,Earnings Breakout + Momentum,6,9,1,0.07478251201330076,12-18%
AMJLAND.NS,AMJLAND.NS,Real Estate,Real Estate - Development,48.67,0.3666666666666667,0.0,0.8333333333333334,0.5,0.3666666666666667,0.0,84.55,73.78,9.520548,0.09024,0.0,0,1994650112,0.41,14.424021722669693,42.865002,40.6213248,39.34934198023106,32.28093152917386,12.6,26.9,Earnings Breakout + Momentum,6,9,1,0.07433219809124161,12-18%
JINDRILL.NS,JINDRILL.NS,Energy,Oil & Gas Equipment & Services,525.45,0.495,0.2,1.0,0.5,0.495,0.0,1271.31,141.92,4.529392,0.20813,6.544,0,15261501440,0.19,11.856158534990833,22.975999,510.9099008,25.40102035368028,49.615077083967954,38.0,284.3,Earnings Breakout + Momentum,6,9,1,0.07426920717658446,12-18%
AFFLE.NS,AFFLE.NS,Communication Services,Advertising Agencies,1734.2,0.3745139999999999,0.2,0.5714285714285714,0.69676,0.3745139999999999,0.0,394.75,-77.17,57.961784,0.14091,1.18,0,243151765504,0.0,15.774655526573143,17.662,-63.391872,27.945466971907077,21.31544526194331,19.1,20.0,Earnings Breakout + Momentum,6,9,1,0.07426089546956971,12-18%
AEGISLOG.NS,AEGISLOG.NS,Energy,Oil & Gas Refining & Marketing,721.75,0.465,0.4,0.7142857142857143,0.5,0.465,0.0,279.01,-61.29,35.279,0.13468,28.45,0,253148430336,1.11,15.265110051978589,10.3970006,72.5007104,12.413505597258268,22.88127576573753,31.1,42.6,Earnings Breakout + Momentum,6,9,1,0.0738839362047651,12-18%
BUTTERFLY.NS,BUTTERFLY.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",606.35,0.465,0.4,0.7142857142857143,0.5,0.465,0.0,316.43,-47.53,26.451754,0.1243,3.141,0,10783157248,0.0,15.046427807249897,7.455,47.4140864,-3.838999000275412,26.354995333226785,13.7,34.1,Earnings Breakout + Momentum,6,9,1,0.07381344654421126,12-18%
INTELLECT.NS,INTELLECT.NS,Technology,Software - Application,915.05,0.395,0.2,0.7142857142857143,0.5,0.395,0.0,369.53,-59.64,32.270004,0.14473,3.007,0,126680547328,0.44,16.077608440713025,13.805,334.1318656,10.002030437040176,-1.5823236419165498,35.8,92.5,Earnings Breakout + Momentum,6,9,1,0.07310961957865002,12-18%
KIRLOSENG.NS,KIRLOSENG.NS,Industrials,Specialty Industrial Machinery,1166.7,0.485,0.6,0.5714285714285714,0.5,0.485,0.0,424.68,-63.76,33.93571,0.15653,165.651,0,170310664192,0.56,12.360339220985312,17.437,359.3700096,16.523356704702795,40.99345443739168,29.9,27.800000000000004,Earnings Breakout + Momentum,6,9,1,0.07260570936036223,12-18%
INFOBEAN.NS,INFOBEAN.NS,Technology,Software - Application,815.8,0.5349999999999999,0.6,0.7142857142857143,0.5,0.5349999999999999,0.0,297.39,-63.72,31.506533,0.18615,4.124,0,19871836160,0.12,16.627035487463505,19.858,36.34,13.30344093062894,-11.60820489129113,27.6,79.3,Earnings Breakout + Momentum,6,9,1,0.07218953518253957,12-18%
XCHANGING.NS,XCHANGING.NS,Technology,Information Technology Services,70.53,0.465,0.4,0.7142857142857143,0.5,0.465,0.0,62.74,-11.05,13.282486,0.16961001,24.199,0,7857303552,2.88,15.709010672310534,32.209998,22.4262496,1.9932490417065016,-1.9330093453005184,18.8,65.9,Earnings Breakout + Momentum,6,9,1,0.07216419408680046,12-18%
KALAMANDIR.NS,KALAMANDIR.NS,Consumer Cyclical,Apparel Retail,121.55,0.9419999999999998,0.6,1.0,0.5,0.6349999999999999,1.0,126.32,3.97,13.806818,0.11468001,25.323,0,17903022080,0.82,14.073680399904491,12.797,173.2999936,8.769927760887231,16.20980235336129,27.9,68.89999999999999,Earnings Breakout + Momentum,6,9,1,0.0716586950742439,12-18%
SANDUMA.NS,SANDUMA.NS,Basic Materials,Steel,232.41,0.5349999999999999,0.6,0.7142857142857143,0.5,0.5349999999999999,0.0,128.64,-44.6,18.847403,0.22918,63.561,0,112901431296,0.18,15.965347085337475,17.804001,96.9462528,11.541151994166675,-11.360857183463157,373.5,331.8,Earnings Breakout + Momentum,6,9,1,0.07155243886705494,12-18%
CCL.NS,CCL.NS,Consumer Defensive,Packaged Foods,959.4,0.6272,0.8,0.7142857142857143,0.648,0.6272,0.0,298.78,-68.91,37.9392,0.17368001,77.989,0,128126099456,0.52,12.1915805668203,14.157,570.4802304,28.54943420853684,14.943844216272083,52.7,36.5,Earnings Breakout + Momentum,6,9,1,0.06980756719762678,12-18%
UMESLTD.NS,UMESLTD.NS,Consumer Defensive,Education & Training Services,4.86,0.295,0.2,0.4285714285714285,0.5,0.295,0.0,4.04,-17.14,32.533333,0.027379999,2.889,0,128909168,0.0,3.0181311109224267,47.191003,0.5428263,-12.558028091523754,73.02726345089418,20.3,200.0,Earnings Breakout + Momentum,6,9,1,0.0630556194532864,12-18%
