Ticker,Name,Sector,Industry,Close,Final_Score,Tech_Score,Fund_Score,Sent_Score,Pre_Score,Forecast_Score,Intrinsic_Value,Margin_Safety,PE_Ratio,ROE,Debt_to_Equity,PEG_Ratio,Market_Cap,Div_Yield,ROCE,OPM,FreeCashFlow,SalesGrowth3Y,ProfitGrowth3Y,QtrSalesGrowth,QtrProfitGrowth,Reason,Allocation,Qty
ONGC.NS,ONGC.NS,Energy,Oil & Gas Integrated,248.23,0.9774479999999999,0.8,0.8571428571428571,0.5636,0.6645399999999999,1.0,437.84,76.56,8.515797,0.10977,43.805,0,3120308944896,7.35,12.925260944556577,10.922,39161.9936256,7.5644361275002625,-7.331705014416712,-0.3,5.0,DCF Undervalued by 76.56%. Strong technical uptrend (RSI/MACD bullish). Undervalued by ~76% (Graham).,1600.0,6
COALINDIA.NS,COALINDIA.NS,Energy,Thermal Coal,432.2,0.9432827999999999,0.8,1.0,0.54046,0.711069,0.5,441.37,2.24,8.529935,0.30576,12.976,0,2660449910784,6.13,44.0914694595074,19.155,12640.436224,7.310444836038066,26.76396754338757,18.5,-30.8,Strong technical uptrend (RSI/MACD bullish). Undervalued by ~2% (Graham). High Financial Strength (F-Score 7/9).,1600.0,3
AARVI.NS,AARVI.NS,Industrials,Staffing & Employment Services,128.02,0.9426599999999998,0.8,1.0,0.537,0.7105499999999999,0.5,138.9,9.95,13.159374,0.11412,24.178,0,1871035776,1.56,9.397743395005804,3.2399999999999998,1.3461,21.151585644907357,-5.932802641100321,31.3,126.8,Strong technical uptrend (RSI/MACD bullish). Undervalued by ~8% (Graham). High Financial Strength (F-Score 7/9).,1600.0,12
SAMMAANCAP.NS,SAMMAANCAP.NS,Financial Services,Mortgage Finance,142.97,0.9421710000000001,0.8,0.7142857142857143,0.70095,0.6351425,1.0,369.8,158.62,6.4701357,0.05994,203.545,0,116653211648,1.4,-1.6552000221850098,56.434,0,37.206495766408224,nan,0,0,DCF Undervalued by 158.62%. Strong technical uptrend (RSI/MACD bullish). Undervalued by ~158% (Graham). High Financial Strength (F-Score 7/9). Positive Market Sentiment.,1600.0,11
KALAMANDIR.NS,KALAMANDIR.NS,Consumer Cyclical,Apparel Retail,121.55,0.9419999999999998,0.6,1.0,0.5,0.6349999999999999,1.0,126.32,3.97,13.806818,0.11468001,25.323,0,17903022080,0.82,14.073680399904493,12.797,173.2999936,8.769927760887231,16.20980235336129,27.900000000000002,68.89999999999999,Undervalued by ~3% (Graham). High Financial Strength (F-Score 7/9).,1600.0,13
